name,lat,lon,O+,A+,B+,AB+,O-,A-,B-,AB-,expiry_dates
S. L. Raheja Hospital Blood Bank,19.046572,72.842207,1,6,6,2,5,4,4,1,"['2025-11-06', '2025-11-22']"
S. R. Mehta and Sir. K.P. Cardiac Institute Blood Bank,19.032412,72.85958,5,1,4,4,6,4,2,4,"['2025-11-04', '2025-11-14']"
Saifee Hospital Trust Blood Bank,18.952471,72.818058,5,5,1,5,4,4,4,2,"['2025-11-06', '2025-11-22']"
Sarvodaya Hospital Samarpan Blood Bank,19.089801,72.907187,2,3,3,5,6,6,3,4,"['2025-11-08', '2025-11-10']"
Seven Hills Health Care Private Limited Hospital Blood Bank,19.117797,72.87809,2,5,2,3,5,6,3,2,"['2025-10-30', '2025-11-23']"
Shushrusha Citizens Co-operative Hospital Blood Bank,19.023426,72.837899,5,1,1,6,6,1,3,4,"['2025-10-31', '2025-11-21']"
Sir J.J.Group of Hospital Blood Bank,18.962909,72.833639,1,6,3,2,4,5,6,5,"['2025-11-02', '2025-11-15']"
Sir J.J.Mahanagar Rakthapedhi,18.963334,72.832489,5,4,4,1,6,2,3,4,"['2025-10-31', '2025-11-22']"
Saint George&#39;s Hospital & Regional  Blood Bank,18.94027,72.837319,5,2,5,4,6,5,1,4,"['2025-11-07', '2025-11-21']"
Tata Memorial Hospital Blood Bank,19.004856,72.842945,2,1,1,4,2,3,5,2,"['2025-10-28', '2025-11-17']"
The B.D. Petit Parsee General Hospital Blood Bank,18.968704,72.805743,4,3,5,5,1,3,6,4,"['2025-10-27', '2025-11-21']"
V. N. Desai Municipal General Hospital Blood Bank,19.078822,72.844994,3,4,1,4,5,2,3,5,"['2025-10-25', '2025-11-10']"
West Coast Blood Bank,19.042954,72.84073,3,3,3,4,1,6,2,5,"['2025-10-27', '2025-11-22']"
M/s. Balasaheb Thackerey Blood Bank,0.0,0.0,4,4,4,4,5,2,2,4,"['2025-11-07', '2025-11-23']"
M/s. Pallavi Blood Bank,0.0,0.0,6,4,2,1,3,5,1,1,"['2025-10-28', '2025-11-16']"
"ESI-PGIMSR, MGM Hospital Blood Bank",0.0,0.0,6,2,1,1,3,6,1,6,"['2025-11-05', '2025-11-09']"
M/s Sion Blood Bank,0.0,0.0,6,4,2,2,2,1,3,6,"['2025-10-30', '2025-11-15']"
Harkisandas  Marottamdas Hospital Blood Bank,0.0,0.0,1,5,2,6,1,6,2,4,"['2025-11-04', '2025-11-18']"
Government Medical College Blood Bank Nagpur,21.126097,79.097101,6,1,3,3,1,2,5,5,"['2025-10-25', '2025-11-18']"
Super Speciality Hospital and Medical Post Graduate Institute Blood Bank,21.123952,79.102367,5,3,3,1,5,2,2,5,"['2025-10-31', '2025-11-10']"
Indira Gandhi Medical College and Hospital Blood Bank,21.153917,79.092894,1,3,6,1,2,4,5,4,"['2025-10-27', '2025-11-12']"
Daga Memorial Women Government Hospital Blood Bank,21.151511,79.105434,6,3,6,5,6,4,2,6,"['2025-10-31', '2025-11-15']"
Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit,21.134731,79.080223,3,6,1,6,4,1,5,6,"['2025-11-02', '2025-11-16']"
Jeevan Jyoti Blood Bank and Component,21.123051,79.057149,4,6,4,5,5,1,6,3,"['2025-10-25', '2025-11-18']"
Dr. Hegdewar Blood Bank,21.140579,79.060505,4,2,6,4,4,5,2,6,"['2025-11-03', '2025-11-22']"
Sainath Blood Bank,21.134294,79.076369,2,2,6,2,1,5,5,1,"['2025-11-08', '2025-11-18']"
Ayush Blood Bank and component Lab,21.135231,79.072978,6,6,2,2,2,2,6,2,"['2025-10-26', '2025-11-20']"
Lifeline Blood Bank Components and Apherisis Centre Blood Bank,21.138999,79.063093,4,6,2,2,5,5,4,4,"['2025-11-05', '2025-11-22']"
Rainbow Blood Bank,21.133584,79.072736,5,2,6,2,6,1,3,5,"['2025-10-30', '2025-11-16']"
"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",21.144346,79.078848,2,1,1,3,6,1,4,3,"['2025-11-04', '2025-11-12']"
Nandkishor Education Society Trust - Arpan Voluntary Blood Bank,0.0,0.0,5,2,2,6,5,3,5,6,"['2025-11-07', '2025-11-18']"
Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,19.109305,77.29295,2,5,5,4,2,4,1,3,"['2025-10-31', '2025-11-17']"
Indian Red Cross Society Blood Bank,17.399811,78.485456,1,3,3,6,5,5,1,3,"['2025-10-25', '2025-11-09']"
Golvalkar Guruji Blood Bank,19.168646,77.326553,4,6,1,1,1,5,1,5,"['2025-11-07', '2025-11-16']"
Arpan Blood Bank,19.161084,77.303022,3,1,3,5,5,1,6,3,"['2025-10-25', '2025-11-13']"
Guru Gobindsinghji Blood Bank,19.156029,77.309,6,5,6,5,3,3,3,6,"['2025-11-05', '2025-11-23']"
Nanded Blood Bank,19.161264,77.304543,2,2,2,6,3,3,2,1,"['2025-11-02', '2025-11-09']"
Hazur Saheb Blood Bank,19.153093,77.318654,4,1,5,2,6,4,1,2,"['2025-10-30', '2025-11-09']"
Civil Surgeon - District General Hospital Blood Bank,21.33867,74.234768,6,2,2,5,4,1,3,3,"['2025-11-04', '2025-11-09']"
Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,21.554798,74.472874,6,4,4,1,4,5,4,2,"['2025-10-27', '2025-11-17']"
Jankalyan Rakta Pedhi,21.36433536,74.24463853,4,4,4,1,2,3,4,4,"['2025-11-06', '2025-11-20']"
Malegaon Blood Bank,20.55474,74.524396,1,6,3,5,1,2,5,5,"['2025-10-27', '2025-11-23']"
Seva Blood Bank,20.552689,74.516643,1,4,3,4,2,1,4,6,"['2025-10-26', '2025-11-22']"
Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,19.903354,73.825824,5,2,2,4,2,5,2,4,"['2025-11-01', '2025-11-15']"
Metro Blood Bank - District (Civil) Hospital Nashik,19.996886,73.778198,2,3,4,5,1,4,4,6,"['2025-10-30', '2025-11-18']"
Sainik Aspatal Military Hospital Blood Bank,19.9483203,73.841866,3,6,3,6,3,5,1,4,"['2025-10-26', '2025-11-20']"
Ansar Blood Bank,20.552043,74.532641,3,4,3,5,4,1,3,1,"['2025-10-28', '2025-11-14']"
Arpan Blood Bank and Blood Component Laboratory and Research Centre,20.004874,73.787164,6,2,2,1,5,4,1,1,"['2025-10-27', '2025-11-20']"
Jankalyan Blood Bank,20.008838,73.7702,2,6,5,2,4,5,4,5,"['2025-10-28', '2025-11-16']"
NDMVPS Medical College and Hospital Blood Bank,20.037363,73.852998,5,3,4,3,4,1,3,6,"['2025-10-25', '2025-11-14']"
Samta Blood Bank,19.984791,73.782607,3,6,4,2,5,3,3,1,"['2025-10-30', '2025-11-21']"
Sanjeevani Blood Bank,19.975586,73.803963,4,1,4,5,6,2,2,4,"['2025-10-31', '2025-11-14']"
Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,19.990656,73.775241,5,6,6,1,4,2,5,1,"['2025-11-01', '2025-11-23']"
The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,19.987781,73.784138,1,1,3,3,5,6,5,3,"['2025-10-31', '2025-11-18']"
SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,19.76062,73.769851,2,6,2,6,4,3,6,5,"['2025-11-07', '2025-11-23']"
Hindustan Aeronautics Limited Blood Bank,20.105897,73.931932,4,1,5,1,2,1,1,5,"['2025-10-28', '2025-11-20']"
J.D.C. Bytco Hospital Blood Bank,19.949132,73.838742,5,6,3,5,3,4,5,3,"['2025-10-28', '2025-11-10']"
Regional Referal Hospital Blood Bank,0.0,0.0,3,4,4,1,1,1,2,2,"['2025-11-07', '2025-11-15']"
Shri Krishna Blood Bank,17.83503,76.622149,4,5,1,4,5,1,5,5,"['2025-11-06', '2025-11-21']"
"Civil Surgeon, General Hospital Blood Bank",18.18077,76.034735,4,5,2,1,5,4,4,1,"['2025-11-04', '2025-11-18']"
Civil Surgeon - District General Hospital Blood Bank,19.271699,76.765032,3,4,4,4,2,4,2,5,"['2025-11-01', '2025-11-16']"
Kanthak Sevabhavi Sanstha - New Life Blood  Bank,19.273124,76.782625,6,5,1,3,1,1,3,3,"['2025-10-27', '2025-11-17']"
Indian Red Cross Society Blood Bank,18.152597,74.574996,3,1,5,4,1,1,1,5,"['2025-11-03', '2025-11-17']"
Pune Chest and General Hospital Blood Bank,18.575032,73.80537,6,5,5,3,6,6,6,6,"['2025-11-07', '2025-11-16']"
Sasoon Sarvopchar Hospital Blood Bank,18.515846,73.858714,3,6,4,3,1,2,1,4,"['2025-11-04', '2025-11-20']"
Armed Forces Blood Bank,18.505159,73.889694,3,6,6,5,6,2,6,2,"['2025-11-05', '2025-11-12']"
Jankalyan Raktapedhi Pune,18.50092,73.857531,4,2,1,5,4,2,5,3,"['2025-11-03', '2025-11-15']"
Inlaks Budharani Hospital Blood Bank,18.534391,73.887409,5,3,3,4,2,2,2,4,"['2025-11-01', '2025-11-14']"
Indian Serological Institute Blood Bank,18.506291,73.84264,6,5,5,3,2,2,1,1,"['2025-11-03', '2025-11-16']"
Acharya Anandrushiji Blood Bank,18.508647,73.844846,1,6,5,5,4,5,5,4,"['2025-10-29', '2025-11-16']"
Akshay Blood Bank,18.47143,73.959674,6,6,2,3,6,6,3,1,"['2025-11-06', '2025-11-14']"
Garware Blood Bank - Talegaon Rural Hospital,18.735319,73.675984,5,3,2,3,4,1,1,2,"['2025-11-03', '2025-11-10']"
Jehangir Hospital Blood Bank,18.530392,73.876808,6,1,5,5,5,6,4,5,"['2025-11-06', '2025-11-12']"
KEM Hospital Blood Bank,18.519784,73.866906,4,5,5,4,5,6,2,2,"['2025-11-06', '2025-11-17']"
Grant Medical Foundation A.H. Wadia Trust Blood Bank,18.533369,73.876939,1,4,5,2,6,3,6,1,"['2025-11-08', '2025-11-20']"
Bharati Vidyapeeth Medical Foundation Blood Bank,18.459914,73.855994,6,2,4,5,5,2,1,4,"['2025-11-03', '2025-11-15']"
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,18.624175,73.82126,4,2,1,2,4,4,3,6,"['2025-11-01', '2025-11-23']"
Deenanath Mangeshkar Hospital Blood Bank,18.502108,73.832232,5,2,6,1,6,5,1,2,"['2025-10-28', '2025-11-09']"
Poona Serological Institute Blood Bank,18.516656,73.866532,1,1,6,2,2,4,1,2,"['2025-10-30', '2025-11-19']"
Sahiyadari Speciality Hospital Blood Bank,18.513091,73.839308,1,1,5,3,1,6,5,2,"['2025-10-26', '2025-11-09']"
Aditya Birla Memorial Hospital Blood Bank,18.625716,73.774775,3,4,6,3,6,6,2,4,"['2025-10-31', '2025-11-10']"
Rakesh Jain Memorial Blood Bank,18.510752,73.842158,5,3,1,5,1,4,2,1,"['2025-11-02', '2025-11-21']"
Noble Hospital Blood Bank,18.505035,73.927256,2,5,3,4,5,2,6,5,"['2025-11-08', '2025-11-09']"
Smt Kashibai Navale General Hospital Blood Bank,18.45624,73.822183,4,6,1,6,4,3,3,5,"['2025-10-29', '2025-11-20']"
Pimpari Serological Institute Blood Bank,18.624322,73.807929,4,1,1,5,4,3,1,1,"['2025-11-08', '2025-11-11']"
Chakan Blood Bank,18.762296,73.860866,1,6,4,2,1,4,1,6,"['2025-11-04', '2025-11-22']"
R.G Gholap Memorial Blood Bank,18.487158,73.857098,5,2,5,6,1,5,2,4,"['2025-10-29', '2025-11-17']"
Kranti Mitra Mandal Charitable Trust Blood Bank,18.501083,73.939062,6,6,2,5,1,5,2,2,"['2025-11-05', '2025-11-13']"
Krantiveer Chapekar Bandhu Blood Bank,18.625689,73.784672,3,6,2,4,2,3,5,2,"['2025-10-25', '2025-11-18']"
The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,18.56475,73.800994,4,1,2,1,6,4,2,2,"['2025-10-25', '2025-11-14']"
Ekta Apang Vikas Sanstha Blood Bank,18.477273,73.90302,2,2,6,1,6,6,5,3,"['2025-11-06', '2025-11-14']"
Chattrapati Shahu Maharaj Pratisthan,18.466519,73.857679,5,5,6,3,6,5,5,4,"['2025-10-25', '2025-11-13']"
Chattrapati Shahu Maharaj Pratisthan Blood Bank,18.466161,73.857642,1,3,2,1,6,5,3,6,"['2025-11-01', '2025-11-14']"
M/s. Vidyashree Charitable Trusts Om Blood Bank,0.0,0.0,5,1,3,5,4,6,5,1,"['2025-10-27', '2025-11-16']"
District Civil Surgeon Blood Bank,18.640782,72.871716,4,4,6,3,2,1,1,3,"['2025-11-05', '2025-11-16']"
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,18.082736,73.42265,4,6,2,2,3,4,6,3,"['2025-10-29', '2025-11-18']"
M.B. More Foundation Blood Bank,19.067134,73.066397,3,5,3,3,5,5,5,6,"['2025-10-28', '2025-11-10']"
Advanced Centre for Treatment Reasearch and Education in Cancer,19.065019,73.064507,4,4,3,2,1,6,4,2,"['2025-10-25', '2025-11-09']"
M/s. Navi Mumbai Blood Bank,19.034045,73.029533,2,4,1,6,2,5,3,1,"['2025-11-03', '2025-11-21']"
Shree Sai Blood Bank & Component,18.99397,73.106561,6,1,4,5,2,1,1,5,"['2025-11-06', '2025-11-23']"
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,19.008249,73.108321,6,3,2,3,6,4,6,3,"['2025-11-01', '2025-11-22']"
Civil Surgeon - General Hospital Blood Bank,16.989126,73.298866,4,2,6,2,1,1,4,3,"['2025-10-27', '2025-11-10']"
Shree Swami Samarth Blood Bank,17.399914,73.547448,5,4,4,2,6,4,4,5,"['2025-11-05', '2025-11-21']"
Indian Red Cross Society Blood Bank,17.019013,73.298977,6,2,5,1,5,2,2,2,"['2025-11-05', '2025-11-13']"
Indian Red Cross Blood Bank,0.0,0.0,5,3,2,4,5,6,1,4,"['2025-11-08', '2025-11-13']"
Prakash Blood Bank & Blood Component Seperation Unit,0.0,0.0,5,6,6,4,2,3,1,1,"['2025-11-05', '2025-11-09']"
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,16.852571,74.574678,6,5,5,1,5,3,5,3,"['2025-10-26', '2025-11-21']"
Rajaram Bapu Blood Bank,17.048399,74.251122,2,6,5,4,5,4,6,3,"['2025-11-03', '2025-11-18']"
Vasantdada Patil Blood Bank and Haematology Research Centre,16.82132,74.649492,5,2,6,5,1,6,3,5,"['2025-11-01', '2025-11-09']"
Miraj Medical Centre - Wanless Hospital Blood Bank,16.832135,74.645472,5,3,2,2,6,1,3,2,"['2025-11-07', '2025-11-17']"
Jeevan Rekha Charitable Trust Blood Bank,17.049271,75.204853,6,6,1,6,2,4,6,1,"['2025-11-06', '2025-11-13']"
Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,16.833879,74.635364,3,6,1,3,1,5,6,4,"['2025-11-08', '2025-11-23']"
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,16.841716,74.617969,2,6,6,3,5,6,6,5,"['2025-11-06', '2025-11-19']"
Hindratna Prakashbapu Patil Blood Bank,16.8537,74.580099,5,2,3,1,6,5,4,3,"['2025-11-05', '2025-11-15']"
Miraj Serological Institute Blood Bank,16.828931,74.639399,1,3,6,3,1,4,2,6,"['2025-10-25', '2025-11-21']"
Akshay Blood Bank,16.838026,74.651827,6,5,3,1,3,1,1,2,"['2025-11-01', '2025-11-22']"
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,16.853702,74.575077,4,1,3,2,1,6,2,1,"['2025-10-30', '2025-11-19']"
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,16.842421,74.619929,2,1,1,5,6,6,3,1,"['2025-10-25', '2025-11-19']"
Azad Panchi Group Charitable Trust Blood Bank,16.844539,74.572891,2,1,3,1,2,6,5,1,"['2025-11-05', '2025-11-10']"
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,17.288048,74.186177,4,5,3,2,5,2,4,1,"['2025-10-26', '2025-11-16']"
Civil Surgeon - Sarva Samanya Hospital Blood Bank,17.691305,74.009424,6,4,1,5,4,2,5,1,"['2025-11-03', '2025-11-23']"
Phaltan Medical Foundation Blood Bank,17.992317,74.42537,4,6,4,2,2,1,4,5,"['2025-10-30', '2025-11-21']"
Krishna Hospital and Medical Research Centre Blood Bank Karad,17.285065,74.185701,2,1,6,2,5,2,5,1,"['2025-11-06', '2025-11-19']"
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,17.431214,74.549364,4,6,4,3,2,3,2,5,"['2025-11-05', '2025-11-18']"
M/s. K. N. Gujar Blood Bank,17.278263,74.183727,1,3,4,4,6,3,3,2,"['2025-11-03', '2025-11-23']"
M/s. Balaji Blood Bank,17.695093,74.010716,2,6,5,1,4,1,2,3,"['2025-10-27', '2025-11-21']"
Akshay Blood Bank,17.672028,74.021087,6,3,2,3,4,3,3,4,"['2025-11-05', '2025-11-13']"
Mauli Blood Bank Satara,17.686084,74.007955,4,1,3,2,3,5,5,6,"['2025-11-06', '2025-11-09']"
Yashwantrao Chavan Blood Bank,17.275751,74.18181,2,5,6,4,1,5,2,6,"['2025-10-27', '2025-11-18']"
Civil Surgeon - General Hospital Blood Bank,16.12019,73.689563,3,3,1,5,1,1,5,5,"['2025-10-30', '2025-11-17']"
"Cottage Hospital Blood Bank, Sawantwadi",15.902781,73.823544,5,3,5,1,5,6,2,6,"['2025-11-02', '2025-11-11']"
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,17.659024,75.912826,6,5,5,1,6,6,4,5,"['2025-11-08', '2025-11-19']"
Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,17.659918,75.906391,4,6,1,2,3,3,6,1,"['2025-11-06', '2025-11-09']"
"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur",17.66391,75.900793,3,4,3,3,4,2,2,2,"['2025-11-05', '2025-11-21']"
Solapur Blood Bank,17.65992,75.906391,4,5,6,4,2,1,5,5,"['2025-10-27', '2025-11-22']"
IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,17.660169,75.906401,3,1,2,6,1,3,2,4,"['2025-10-25', '2025-11-15']"
Akshay Blood Bank,17.669558,75.915101,6,6,4,5,5,5,5,5,"['2025-11-08', '2025-11-10']"
M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,17.644778,75.986234,4,3,2,5,2,3,3,3,"['2025-10-30', '2025-11-09']"
Athar Minorities Social and Welfare Associations - Athar Blood Bank,17.676725,75.910238,5,6,4,1,4,1,4,4,"['2025-11-03', '2025-11-22']"
Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,17.661126,0.0,5,6,5,4,6,4,5,1,"['2025-11-07', '2025-11-15']"
Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,17.660077,75.906391,6,4,4,6,1,6,4,3,"['2025-11-02', '2025-11-15']"
Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,17.562936,75.265589,3,5,1,6,2,2,6,1,"['2025-10-31', '2025-11-17']"
SIDDHESHWAR BLOOD BANK,17.672075,75.904841,1,5,2,2,1,5,6,2,"['2025-11-05', '2025-11-20']"
M/s Shrikamal Shikshan Prasarak Krida - Kala & Krushivikas Bahu Uddeshiya Samajsevi Mandals Sanjeevani Blood Bank,0.0,0.0,2,3,5,1,4,4,4,1,"['2025-11-04', '2025-11-18']"
Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank,0.0,0.0,6,2,1,2,1,1,3,3,"['2025-10-26', '2025-11-21']"
"Dr. D.Y. Patil Hospital & Research Centre, Blood Bank",0.0,0.0,4,4,3,1,2,6,5,2,"['2025-10-27', '2025-11-14']"
Tarapur Atomic Power Station Hospital Blood Bank,19.813093,72.743519,1,6,5,5,3,2,6,3,"['2025-10-30', '2025-11-16']"
Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank,19.199056,72.978096,5,5,3,1,3,2,2,2,"['2025-11-01', '2025-11-23']"
Central Hospital Blood Bank,19.229578,73.165135,5,6,6,4,3,4,5,4,"['2025-10-25', '2025-11-11']"
JVP Blood Bank and Transfusion Centre Blood Bank,19.072305,73.000676,6,5,6,6,3,2,3,6,"['2025-10-28', '2025-11-18']"
Sankalp Blood Bank,19.241131,73.146766,3,6,4,4,2,3,2,2,"['2025-11-08', '2025-11-15']"
Jupiter Hospital Blood Bank,19.209617,72.972405,5,3,3,5,4,4,1,5,"['2025-11-05', '2025-11-17']"
Plasma Diagnostic Lab and Blood Bank,19.215794,73.096159,6,6,1,2,1,5,1,3,"['2025-10-27', '2025-11-18']"
Vaidhya Blood Bank,19.187896,72.96724,4,5,6,4,6,3,3,2,"['2025-10-25', '2025-11-17']"
Mahatma Gandhi Mission Medical College and Hospital Blood Bank,19.003199,73.118362,1,5,6,4,6,2,1,3,"['2025-11-04', '2025-11-13']"
Navjeevan Blood Bank,19.187729,72.967926,3,3,2,4,4,2,1,3,"['2025-11-04', '2025-11-10']"
Sarla Blood Bank,19.255677,72.865577,3,1,4,2,4,6,6,2,"['2025-11-08', '2025-11-14']"
Tssia Blood Bank,19.194769,72.952884,3,6,5,4,5,5,1,2,"['2025-11-07', '2025-11-15']"
Katiya Charitable Trusts Bhiwandi Blood Bank,19.290856,0.0,4,2,1,6,1,1,2,4,"['2025-10-25', '2025-11-09']"
Kai Wamanrao Oak Blood Bank,19.186459,72.975467,5,2,6,5,3,1,3,5,"['2025-10-31', '2025-11-16']"
Blood Line Blood Bank,19.200762,72.97498,4,2,6,5,6,3,6,6,"['2025-11-08', '2025-11-22']"
Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,19.244366,73.122511,6,1,3,4,5,5,3,4,"['2025-11-04', '2025-11-17']"
Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank,19.208377,72.847668,6,3,5,3,6,4,2,6,"['2025-11-06', '2025-11-13']"
Sanjeevan Blood Bank ,19.156842,72.997815,5,1,5,6,2,5,2,5,"['2025-11-03', '2025-11-18']"
Vijayee Blood Bank,19.358711,72.811841,5,1,1,3,4,2,3,3,"['2025-10-27', '2025-11-22']"
Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,19.274233,72.861175,2,5,1,2,1,2,3,4,"['2025-10-31', '2025-11-23']"
"Maharashtra Blood Bank, Component and Apheresis Centre",19.692902,72.772639,6,5,5,2,5,6,1,6,"['2025-10-27', '2025-11-22']"
Chidanand Charitable Trust Dombivali Blood Bank,19.212614,73.088869,3,5,5,5,1,2,4,5,"['2025-11-08', '2025-11-09']"
Seva Blood Bank,19.215715,73.091599,2,4,6,3,3,2,1,1,"['2025-10-27', '2025-11-23']"
Chhatrapati Shivaji Maharaj Hospital Blood Bank,19.1922569,72.986723,4,4,5,2,3,5,4,3,"['2025-10-26', '2025-11-20']"
Navi Mumbai Municipal Corporation Blood Bank,19.082788,72.996027,6,4,2,1,2,3,4,3,"['2025-11-08', '2025-11-16']"
Lokmanya TSSIA Blood Bank Thane,19.191526,72.95169,3,6,1,1,1,1,6,1,"['2025-11-07', '2025-11-11']"
M/s. Sadgurus Charitable Blood Bank,0.0,0.0,1,5,4,6,3,4,1,2,"['2025-11-05', '2025-11-10']"
M/s. Triumph Foundations Triumph Blood Bank,0.0,0.0,3,2,2,3,4,6,3,1,"['2025-10-27', '2025-11-09']"
Terna Blood Bank ,0.0,0.0,1,3,4,5,2,1,3,4,"['2025-10-28', '2025-11-21']"
"District - Civil Surgeon, General Hospital Blood Bank Wardha",20.737833,78.603162,1,5,1,3,3,2,2,6,"['2025-11-04', '2025-11-20']"
Kasturba Health Society Blood Bank,20.739287,78.660927,6,4,5,2,6,5,6,1,"['2025-11-07', '2025-11-23']"
Jawaharlal Nehru Medical College Blood Bank,20.715824,78.575564,4,5,3,2,1,1,1,4,"['2025-10-28', '2025-11-10']"
"Civil Surgeon, General Hospital Blood Bank Washim",20.12259,77.127893,2,3,6,4,4,5,3,2,"['2025-10-27', '2025-11-18']"
Sau Kantadevi Dale Blood Bank,20.105396,77.143122,2,5,4,6,3,3,2,1,"['2025-10-26', '2025-11-20']"
Shri Vasantrao Naik Blood Bank ,20.39524,78.118668,6,3,5,4,5,3,6,3,"['2025-11-06', '2025-11-17']"
Laxmi Blood Bank,19.906603,77.567708,3,1,2,1,5,5,4,4,"['2025-11-07', '2025-11-10']"
Satyashanti Blood Bank,19.910776,77.569957,1,2,2,2,1,6,3,5,"['2025-10-26', '2025-11-15']"
Aishwarya Blood Bank,20.389322,78.118544,4,4,1,2,2,2,5,4,"['2025-10-30', '2025-11-14']"
Shri Gajanan Blood Bank And Components,20.418283,78.12953,4,4,4,6,6,6,2,6,"['2025-11-03', '2025-11-21']"
Ekneel Blood Bank,20.389322,78.118544,6,6,2,1,1,3,4,3,"['2025-11-03', '2025-11-15']"
District Hospital Blood Bank ,24.343447,93.692909,2,2,3,4,5,6,1,6,"['2025-10-29', '2025-11-15']"
JNIMS Hospital Blood Bank and Transfusion Unit ,24.811173,93.961697,2,5,3,2,4,1,5,3,"['2025-11-07', '2025-11-19']"
Model Blood Bank - Department of IHBT,24.815898,93.922827,5,4,6,1,2,1,1,6,"['2025-11-04', '2025-11-19']"
Shija Blood Bank and Transfusion Services   ,24.835805,93.914217,6,5,4,3,4,5,1,2,"['2025-10-29', '2025-11-15']"
District Hospital Blood Bank and Transfusion Unit,24.624975,94.013034,3,1,1,3,2,4,5,4,"['2025-11-07', '2025-11-17']"
Military Hospital Blood Bank,25.571624,91.873071,4,5,1,5,4,4,2,1,"['2025-10-31', '2025-11-18']"
Nazareth Hospital Blood Bank ,25.571321,91.897913,6,6,2,2,1,3,1,2,"['2025-11-07', '2025-11-10']"
" Regional Blood Bank, East Khasi Hills - Pasteur Institute",25.583606,91.884132,3,2,1,5,2,2,5,2,"['2025-11-06', '2025-11-16']"
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Blood Bank,25.591485,91.940381,6,6,1,3,5,3,2,2,"['2025-11-07', '2025-11-13']"
Dr. H. Gordon Roberts Hospital Blood Bank,25.584829,91.875283,6,1,5,2,5,5,4,4,"['2025-11-05', '2025-11-14']"
Tura Civil Hospital Blood Bank,25.514811,90.203482,6,5,4,6,5,6,6,5,"['2025-10-29', '2025-11-22']"
Jowai Civil Hospital Blood Bank   ,25.438521,92.199331,1,5,4,5,4,3,1,6,"['2025-10-27', '2025-11-22']"
Civil Hospital Blood Bank Aizawl,23.732287,92.716561,1,4,5,6,6,1,3,2,"['2025-11-05', '2025-11-10']"
Synod Hospital Blood Bank Durtlang,23.772714,92.731326,4,1,6,3,4,1,1,2,"['2025-11-05', '2025-11-11']"
District Hospital Blood Bank Champhai,23.48105,93.3097,4,3,5,4,4,5,3,6,"['2025-11-07', '2025-11-14']"
District Hospital Blood Bank Kolasib,24.231419,92.676799,2,4,4,2,1,1,5,6,"['2025-10-31', '2025-11-22']"
District Hospital Blood Bank Lawngtlai,22.536684,92.888179,5,4,5,4,5,4,5,5,"['2025-10-28', '2025-11-21']"
Civil Hospital Blood Bank,22.886385,92.744135,1,6,2,1,4,2,2,5,"['2025-11-05', '2025-11-21']"
Christian Hospital Blood Bank Serkawn,22.90691,92.758415,5,6,5,3,4,4,6,5,"['2025-10-31', '2025-11-11']"
District Hospital Blood Bank Mamit,23.909365,92.494861,1,4,4,5,2,2,1,1,"['2025-10-29', '2025-11-23']"
Civil Hospital Blood Bank Saiha,22.488391,92.982668,6,5,4,6,5,6,4,5,"['2025-11-07', '2025-11-11']"
"J N Hospital Blood Bank,Serchhip",23.307946,92.856366,3,2,3,5,5,1,1,5,"['2025-11-08', '2025-11-22']"
